Researcher,Trial,Plot,Weight,Width,Length,Height,Shape,Area,Hollow,Double,Knob
Groves,Example Trial,402,1.04,1.66,1.35,1.13,24349,2713,0,0,0
Groves,Example Trial,402,2.42,1.8,2.62,1.5,29231,5366,0,0,0
Groves,Example Trial,402,2.62,2.14,2.7,1.49,32859,5938,0,0,0
Groves,Example Trial,402,1.77,1.6,2.33,1.35,28433,4307,0,0,0
Groves,Example Trial,402,2.89,2.67,2.2,1.57,31910,6533,0,0,0
Groves,Example Trial,402,2.04,2.24,1.75,1.45,27862,4621,0,0,0
Groves,Example Trial,402,2.33,2.02,2.44,1.52,32153,5102,0,0,0
Groves,Example Trial,402,1.2,1.39,1.93,1.2,26827,3100,0,0,0
Groves,Example Trial,402,1.22,1.8,1.43,1.24,26161,2997,0,0,0
Groves,Example Trial,402,3.82,1.92,3.44,1.64,28355,8136,0,0,0
Groves,Example Trial,402,2.23,1.88,2.46,1.44,29864,5087,0,0,0
Groves,Example Trial,402,2.54,2.44,1.96,1.59,29937,5339,0,0,0
Groves,Example Trial,402,3.14,2.38,2.36,1.78,31840,6236,0,0,1
Groves,Example Trial,402,2.64,2.12,2.57,1.5,30956,5923,0,0,0
Groves,Example Trial,402,0.72,1.19,1.7,0.9,25287,2118,0,0,0
Groves,Example Trial,402,1.31,1.68,1.91,1.19,29148,3556,0,0,0
Groves,Example Trial,402,2.11,1.7,2.86,1.35,31107,5422,0,0,0
Groves,Example Trial,402,1.09,1.45,1.62,1.23,26507,2604,0,0,0
Groves,Example Trial,402,1.99,1.7,2.41,1.44,29646,4766,0,0,0
Groves,Example Trial,402,0.41,1.13,1.25,0.63,21704,1190,0,0,0
Groves,Example Trial,402,7.5,2.26,4.45,1.94,26014,13307,0,0,0
Groves,Example Trial,402,2.01,1.94,2.31,1.4,31213,4810,0,0,0
Groves,Example Trial,402,1.67,2.22,1.59,1.36,28745,4197,0,0,0
Groves,Example Trial,402,2.53,1.74,2.94,1.41,28509,6098,0,0,0
Groves,Example Trial,402,3,1.9,2.86,1.6,28981,6540,0,0,0
Groves,Example Trial,402,3.17,1.92,2.81,1.74,29614,6473,0,0,0
Groves,Example Trial,402,1.82,2.02,1.85,1.47,30183,4151,0,0,0
Groves,Example Trial,402,2.87,1.94,2.44,1.7,28038,5783,0,0,0
Groves,Example Trial,402,2.26,2.32,2.09,1.49,31967,5151,0,0,0
Groves,Example Trial,402,2.09,2.32,1.72,1.52,29021,4708,0,0,0
Groves,Example Trial,402,5.19,2.14,3.87,1.85,29520,10132,0,0,0
Groves,Example Trial,402,2.32,1.94,2.46,1.49,30650,5287,0,0,0
Groves,Example Trial,402,3.92,2.36,2.73,1.79,29419,7784,0,0,0
Groves,Example Trial,402,2.61,1.92,2.73,1.5,30124,5898,0,0,0
Groves,Example Trial,402,3.83,2.02,3.13,1.81,29879,7469,0,0,0
Groves,Example Trial,402,1.67,2.18,1.48,1.38,26661,3892,0,0,0
Groves,Example Trial,402,1.92,1.74,2.41,1.38,30140,4628,0,0,0
Groves,Example Trial,402,0.78,1.19,1.64,0.97,24269,2150,0,0,0
Groves,Example Trial,402,3.33,2.65,2.86,1.52,34594,7365,0,0,0
Groves,Example Trial,402,3.65,2.28,2.86,1.72,30728,7209,0,0,0
Groves,Example Trial,402,2.91,2.12,2.73,1.56,31026,6407,0,0,0
Groves,Example Trial,402,3.63,2.89,2.81,1.64,36689,8381,1,0,0
Groves,Example Trial,402,2.47,2.24,1.99,1.66,29957,5063,0,0,0
Groves,Example Trial,402,2.67,1.86,2.68,1.58,29498,5822,0,0,0
Groves,Example Trial,402,0.52,1.23,1.54,0.75,27320,1580,0,0,0
Groves,Example Trial,402,1.98,1.76,2.38,1.38,29194,4746,0,0,0
Groves,Example Trial,402,3.33,1.82,3.39,1.53,28347,7569,0,0,0
Groves,Example Trial,402,1.3,1.92,1.51,1.26,28099,3257,0,0,0
Groves,Example Trial,402,2.17,1.76,2.54,1.39,28635,5171,0,0,0
Groves,Example Trial,402,3,2.1,2.78,1.59,30941,6657,0,0,0
Groves,Example Trial,402,4.67,2,3.76,1.72,27696,9393,0,0,0
Groves,Example Trial,402,1.57,2,1.64,1.38,28830,3721,0,0,0
Groves,Example Trial,402,6.26,2.22,4.19,1.86,27637,11672,0,0,0
Groves,Example Trial,402,0.89,1.72,1.27,1.02,25034,2426,0,0,0
Groves,Example Trial,402,0.78,1.19,1.59,1.03,24985,2100,0,0,0
Groves,Example Trial,402,1.49,1.45,2.12,1.32,27232,3595,0,0,0
Groves,Example Trial,402,3.37,1.92,2.73,1.8,27996,6430,0,0,0
Groves,Example Trial,402,3.75,3.07,2.07,1.72,29147,7752,0,0,1
Groves,Example Trial,402,1.88,1.92,1.91,1.48,28869,4305,0,0,0
Groves,Example Trial,402,1.57,2.08,1.56,1.29,26661,3972,0,0,0
Groves,Example Trial,402,4.21,2,3.6,1.78,30441,8447,0,0,0
Groves,Example Trial,402,4.47,2.38,3.37,1.77,31759,9045,0,0,0
Groves,Example Trial,402,1.82,2.02,2.15,1.33,31737,4599,0,0,0
Groves,Example Trial,402,1.41,1.53,2.01,1.28,27917,3500,0,0,0
Groves,Example Trial,402,0.8,1.27,1.46,1.1,25495,2015,0,0,0
Groves,Example Trial,402,2.34,1.7,2.54,1.53,28233,5193,0,0,0
Groves,Example Trial,402,2.8,1.9,2.81,1.52,28983,6323,0,0,0
Groves,Example Trial,402,3.49,1.96,3.07,1.66,28620,7229,0,0,0
Groves,Example Trial,402,0.79,1.49,1.25,1.05,24754,2069,0,0,0
Groves,Example Trial,402,1.68,1.58,2.25,1.3,27508,4240,0,0,0
Groves,Example Trial,402,1.78,1.64,1.7,1.61,25217,3489,0,0,0
Groves,Example Trial,402,3.26,2.12,2.7,1.75,30726,6578,0,0,1
Groves,Example Trial,402,0.54,1.05,1.17,0.98,22295,1225,0,0,0
Groves,Example Trial,402,2.83,1.88,2.73,1.56,28291,6131,0,0,0
Groves,Example Trial,402,1.32,1.49,1.75,1.33,26272,2955,0,0,0
Groves,Example Trial,402,1.79,2.2,1.85,1.33,30240,4340,0,0,0
Groves,Example Trial,402,3.45,1.9,2.89,1.71,27216,7112,0,0,0
Groves,Example Trial,402,1.35,1.78,1.78,1.21,28398,3538,0,0,0
Groves,Example Trial,402,2.95,2.36,2.33,1.58,29451,6297,0,0,0
Groves,Example Trial,402,2.52,1.88,2.91,1.46,31695,6004,0,0,0
Groves,Example Trial,402,1.11,1.7,1.46,1.22,27279,2822,0,0,0
Groves,Example Trial,402,1.1,1.78,1.38,1.18,26350,2777,0,0,0
Groves,Example Trial,402,3.87,2.97,2.07,1.76,27959,7731,0,0,0
Groves,Example Trial,402,0.66,1.31,1.32,0.96,25152,1785,0,0,0
Groves,Example Trial,402,2.84,2.12,2.62,1.69,33052,5985,0,0,1
Groves,Example Trial,402,1.19,1.47,1.93,1.18,28132,3090,0,0,0
Groves,Example Trial,402,1.85,2.12,1.64,1.43,26874,4173,0,0,0
Groves,Example Trial,402,2.68,1.72,2.94,1.49,28114,6087,0,0,0
Groves,Example Trial,402,2.31,1.66,2.89,1.42,29490,5594,0,0,0
Groves,Example Trial,402,1.69,2.08,1.67,1.36,27953,4047,0,0,0
Groves,Example Trial,402,1.12,1.53,1.83,1.17,29248,2945,0,0,0
Groves,Example Trial,402,2.06,2.1,1.72,1.46,25599,4592,0,0,0
Groves,Example Trial,402,1.93,2.2,1.51,1.6,27539,4049,0,0,0
Groves,Example Trial,402,1.91,2.14,1.91,1.44,30816,4517,0,0,0
Groves,Example Trial,402,2,2.1,2.25,1.35,31893,4868,0,0,0
Groves,Example Trial,402,1.46,1.76,1.83,1.35,29781,3426,0,0,0
Groves,Example Trial,402,1.89,2,1.99,1.45,30534,4344,0,0,0
Groves,Example Trial,402,3.4,1.78,3.31,1.61,27899,7088,0,0,0
Groves,Example Trial,402,0.76,1.37,1.35,1.06,25795,1876,0,0,0
Groves,Example Trial,402,5.14,2.26,4.11,1.8,32528,10431,0,0,0
Groves,Example Trial,402,0.53,1.11,1.25,0.89,23299,1367,0,0,0
Groves,Example Trial,402,2.56,1.82,2.46,1.6,27982,5375,0,0,0
Groves,Example Trial,402,1.42,1.84,1.59,1.45,29874,3272,0,0,0
Groves,Example Trial,402,4.63,2.32,3.55,1.78,31663,9118,0,0,0
Groves,Example Trial,402,2.58,2.48,1.99,1.58,30223,5771,0,0,0
Groves,Example Trial,402,3.5,2.32,2.57,1.83,31174,6690,0,0,0
Groves,Example Trial,402,2.85,2.32,2.57,1.58,33054,6244,0,0,0
Groves,Example Trial,402,1.69,1.51,2.2,1.43,28109,3934,0,0,0
Groves,Example Trial,402,1.48,1.6,1.78,1.46,28095,3200,0,0,0
Groves,Example Trial,402,1.72,1.94,1.93,1.37,29822,4139,0,0,0
Groves,Example Trial,402,1.12,1.41,1.72,1.22,26417,2746,0,0,0
Groves,Example Trial,402,0.64,1.19,1.46,0.92,24975,1774,0,0,0
Groves,Example Trial,402,5.06,2.69,4.13,1.7,37325,11023,1,1,1
Groves,Example Trial,402,2.18,1.58,2.62,1.5,28483,4855,0,0,0
Groves,Example Trial,402,4.93,2.08,3.97,1.67,27971,10176,0,0,0
Groves,Example Trial,402,1.7,2.16,1.56,1.34,26560,4096,0,0,0
Groves,Example Trial,402,0.92,1.29,1.67,1.17,27397,2294,0,0,0
Groves,Example Trial,402,0.87,1.25,1.54,1.18,26109,2104,0,0,0
Groves,Example Trial,402,2.5,2.46,1.85,1.55,28216,5668,0,0,0
Groves,Example Trial,402,3.77,2.02,3.21,1.68,28895,7888,0,0,0
Groves,Example Trial,402,3.07,1.74,3.18,1.45,26134,7000,0,0,0
Groves,Example Trial,402,1.31,1.43,1.88,1.38,28320,2995,0,0,0
Groves,Example Trial,402,0.87,1.27,1.54,1.14,25627,2147,0,0,0
Groves,Example Trial,402,4.86,2.06,3.76,1.73,27571,9724,0,0,0
Groves,Example Trial,402,4.07,2.08,3.21,1.76,28872,8018,0,0,0
Groves,Example Trial,402,2.26,1.76,2.25,1.63,28561,4682,0,0,0
Groves,Example Trial,402,2.81,2.5,2.07,1.62,29834,5956,0,0,0
Groves,Example Trial,402,2.4,2.32,2.04,1.54,30368,5339,0,0,0
Groves,Example Trial,402,1.88,1.88,2.36,1.33,31388,4663,0,0,0
Groves,Example Trial,402,4.72,2.48,4,1.77,37200,10205,1,0,0
Groves,Example Trial,402,1.33,1.64,1.91,1.22,28733,3428,0,0,0
Groves,Example Trial,402,2.13,1.68,2.68,1.5,31707,4649,0,0,0
Groves,Example Trial,402,2.95,2.38,2.15,1.74,30181,6081,0,0,1
Groves,Example Trial,402,3.04,1.82,2.94,1.61,28338,6476,0,0,0
Groves,Example Trial,402,1.9,2.14,1.78,1.4,28067,4501,0,0,0
Groves,Example Trial,402,0.92,1.07,1.85,1.2,25819,2172,0,0,0
Groves,Example Trial,402,2.13,1.88,2.31,1.49,30379,4819,0,0,0
Groves,Example Trial,402,1.17,1.76,1.54,1.18,27335,2969,0,0,0
Groves,Example Trial,402,1.62,1.53,2.25,1.34,28475,3852,0,0,0
Groves,Example Trial,402,2.37,1.88,2.57,1.48,30172,5417,0,0,0
Groves,Example Trial,402,1.6,1.82,2.01,1.31,29951,3898,0,0,0
Groves,Example Trial,402,2.82,1.78,2.89,1.53,27910,6140,0,0,0
Groves,Example Trial,402,1.4,1.94,1.7,1.23,28975,3675,0,0,0
Groves,Example Trial,402,2.78,2.53,1.91,1.68,29202,5734,0,0,0
Groves,Example Trial,402,0.8,1.23,1.64,0.97,24458,2191,0,0,0
Groves,Example Trial,402,2.63,2.4,1.93,1.61,28355,5762,0,0,1
Groves,Example Trial,402,1.14,1.37,1.83,1.24,27270,2836,0,0,0
Groves,Example Trial,402,2.72,2.55,2.09,1.57,30762,6018,0,0,0
Groves,Example Trial,402,2.67,2.46,1.91,1.72,30268,5514,0,0,1
Groves,Example Trial,402,2.56,1.76,2.89,1.4,27816,6045,0,0,0
Groves,Example Trial,402,1.35,1.86,1.54,1.3,27583,3249,0,0,0
Groves,Example Trial,402,1.66,1.47,2.33,1.3,26823,4100,0,0,0
Groves,Example Trial,402,2.58,1.76,2.86,1.55,30240,5859,0,0,0
Groves,Example Trial,402,3.63,1.94,3.15,1.63,27440,7573,0,0,0
Groves,Example Trial,402,2.76,1.9,2.81,1.46,28242,6463,0,0,0
Groves,Example Trial,402,1.5,1.53,1.99,1.36,27605,3526,0,0,0
Groves,Example Trial,402,2.07,2.14,1.8,1.5,27913,4499,0,0,0
Groves,Example Trial,402,1.08,1.84,1.35,1.17,26910,2856,0,0,0
Groves,Example Trial,402,3.41,1.92,3.23,1.63,29644,7260,0,0,0
Groves,Example Trial,402,6.45,2.22,4.69,1.81,29217,12853,0,0,0
Groves,Example Trial,402,3.15,2.53,1.99,1.75,27970,6298,0,0,0
Groves,Example Trial,402,1.28,1.55,1.78,1.31,28236,3016,0,0,0
Groves,Example Trial,402,2.27,2.46,1.93,1.42,29699,5364,0,0,0
Groves,Example Trial,402,7.66,2.61,5.35,1.78,32447,15456,1,1,0
Groves,Example Trial,402,2.21,1.8,2.49,1.55,31434,4804,0,0,0
Groves,Example Trial,402,4.03,2.97,3.07,1.53,34616,9403,1,1,0
Groves,Example Trial,402,2.81,1.76,2.89,1.52,27513,6214,0,0,0
Groves,Example Trial,402,3.49,1.86,3.31,1.64,28930,7339,0,0,0
Groves,Example Trial,402,4.59,2.1,3.5,1.83,29303,8735,0,0,0
Groves,Example Trial,402,2.88,1.78,3.47,1.48,31740,6804,0,0,0
Groves,Example Trial,402,6.8,2.2,4.66,1.88,28343,13150,0,0,0
Groves,Example Trial,402,4.33,2.04,3.47,1.85,30244,8377,0,0,0
Groves,Example Trial,402,2.86,1.8,2.68,1.76,29686,5693,0,0,0
Groves,Example Trial,402,1.52,1.82,1.96,1.26,29570,3906,0,0,0
Groves,Example Trial,402,0.94,1.78,1.27,1.06,25491,2548,0,0,0
Groves,Example Trial,402,3.42,2.53,2.49,1.71,31498,7060,0,0,1
Groves,Example Trial,402,2.32,2.32,1.8,1.5,27000,5230,0,0,0
Groves,Example Trial,402,2.53,1.7,2.78,1.51,28206,5741,0,0,0
Groves,Example Trial,402,2.56,1.94,2.81,1.45,30877,6045,0,0,0
Groves,Example Trial,402,0.88,1.55,1.35,1.12,26631,2323,0,0,0
Groves,Example Trial,402,5.27,2.38,3.76,1.78,30225,10168,0,0,0
Groves,Example Trial,402,3.79,1.86,3.68,1.69,30521,8107,0,0,0
Groves,Example Trial,402,6.13,3.01,4.13,1.8,36503,12839,1,0,0
Groves,Example Trial,402,2.37,1.6,2.73,1.53,28198,5147,0,0,0
Groves,Example Trial,402,4.45,2.24,3.5,1.79,31536,8672,0,0,0
Groves,Example Trial,402,1.13,1.92,1.46,1.14,28280,3127,0,0,0
Groves,Example Trial,402,2.31,1.8,2.73,1.38,29356,5561,0,0,0
Groves,Example Trial,402,1.15,1.68,1.78,1.12,29123,3103,0,0,0
Groves,Example Trial,402,3.79,2.75,2.36,1.86,31850,7244,0,0,1
Groves,Example Trial,402,3.18,1.9,3.34,1.54,30732,7349,0,0,0
Groves,Example Trial,402,5.21,2.77,3.5,1.84,34239,9935,0,0,0
Groves,Example Trial,402,3.16,2.06,3.02,1.56,30712,7072,0,0,0
Groves,Example Trial,402,0.76,1.23,1.4,1.16,26283,1751,0,0,0
Groves,Example Trial,402,1.59,2.08,1.62,1.35,28609,3853,0,0,0
Groves,Example Trial,402,5.01,1.98,4.53,1.51,27033,11324,0,0,0
Groves,Example Trial,402,2.57,2.34,1.85,1.7,28635,5243,0,0,1
Groves,Example Trial,402,2.69,1.82,2.81,1.48,28137,6147,0,0,0
Groves,Example Trial,402,4.87,2.42,3.95,1.69,33171,10414,1,1,0
Groves,Example Trial,402,1.96,1.92,1.83,1.43,25634,4482,0,0,0
Groves,Example Trial,402,1.67,1.98,1.88,1.39,30982,3980,0,0,0
Groves,Example Trial,402,4.27,2.36,3.52,1.67,32489,8883,0,0,0
Groves,Example Trial,402,4.7,2.24,3.26,1.92,29831,8606,0,0,0
Groves,Example Trial,402,8.82,2.5,4.64,2.14,28145,14427,0,0,0
Groves,Example Trial,402,2.01,1.86,2.28,1.46,30803,4640,0,0,0
Groves,Example Trial,402,1.49,2.02,1.75,1.21,28707,3943,0,0,0
Groves,Example Trial,402,2.15,2.3,1.72,1.49,27416,4742,0,0,0
Groves,Example Trial,402,1.64,2,1.88,1.4,32097,3914,0,0,0
Groves,Example Trial,402,3.14,1.92,2.89,1.68,29687,6474,0,0,0
Groves,Example Trial,402,2.71,1.8,3.05,1.49,30184,6211,0,0,0
Groves,Example Trial,402,1.02,1.37,1.75,1.24,29146,2527,0,0,0
Groves,Example Trial,402,1.17,1.6,1.88,1.21,31108,2959,0,0,0
Groves,Example Trial,402,0.68,1.39,1.3,0.95,25244,1819,0,0,0
Groves,Example Trial,402,1.81,2.12,1.64,1.47,28236,4097,0,0,0
Groves,Example Trial,402,2.82,1.76,2.73,1.61,27431,5778,0,0,0
Groves,Example Trial,402,2.76,2.1,2.52,1.65,31636,5890,0,0,0
Groves,Example Trial,402,2.64,2.46,2.07,1.63,31440,5658,0,0,0
Groves,Example Trial,402,1.85,1.51,2.44,1.32,26288,4584,0,0,0
Groves,Example Trial,402,3.6,2.65,2.44,1.7,30533,7338,0,0,0
Groves,Example Trial,402,3.69,2,3.47,1.67,31408,8010,0,0,0
Groves,Example Trial,402,5.07,2.32,3.47,1.91,30327,9466,0,0,0
Groves,Example Trial,402,2.88,1.7,3.26,1.5,28864,6664,0,0,0
Groves,Example Trial,402,1.38,1.96,1.62,1.23,28300,3661,0,0,0
Groves,Example Trial,402,0.6,1.15,1.43,0.87,23845,1690,0,0,0
Groves,Example Trial,402,4.32,2.1,4.53,1.62,35673,10632,1,0,0
Groves,Example Trial,402,2.87,1.94,2.76,1.57,29290,6121,0,0,0
Groves,Example Trial,402,2.1,2.46,1.83,1.35,28940,5077,0,0,0
Groves,Example Trial,402,2.78,1.76,2.91,1.52,28002,6102,0,0,0
Groves,Example Trial,402,1.24,1.7,1.54,1.33,28080,2992,0,0,0
Groves,Example Trial,402,0.87,1.51,1.54,0.98,26194,2468,0,0,0
Groves,Example Trial,402,4.17,2.2,3.29,1.77,30722,8192,0,0,0
Groves,Example Trial,402,3.3,2.28,2.91,1.62,32570,7086,0,0,0
Groves,Example Trial,402,5.92,2.5,4.74,1.7,34028,12628,1,1,0
Groves,Example Trial,402,2.39,2.2,1.85,1.62,27587,5018,0,0,0
Groves,Example Trial,402,3.96,2.97,2.46,1.81,33394,7861,0,0,1
Groves,Example Trial,402,0.9,1.29,1.56,1.18,26384,2167,0,0,0
Groves,Example Trial,402,2.12,2.04,2.41,1.38,32002,5070,0,0,0
Groves,Example Trial,402,2.23,2.36,1.85,1.5,29367,5044,0,0,0
Groves,Example Trial,402,2.68,2.04,2.6,1.57,31071,5735,0,0,0
Groves,Example Trial,402,2.9,2.5,1.93,1.67,27785,5895,0,0,0
Groves,Example Trial,402,2.21,1.64,2.52,1.6,29920,4729,0,0,1
Groves,Example Trial,402,3.49,2.61,2.89,1.57,33932,7540,0,0,0
Groves,Example Trial,402,1.81,2.18,1.64,1.42,28048,4233,0,0,0
Groves,Example Trial,402,3.32,1.8,3.13,1.69,28679,6818,0,0,1
Groves,Example Trial,402,1.7,1.86,2.01,1.33,29249,4190,0,0,0
Groves,Example Trial,402,2.93,2.38,2.38,1.55,29965,6304,0,0,0
Groves,Example Trial,402,2.6,1.76,2.62,1.58,28021,5510,0,0,0
Groves,Example Trial,402,2.17,1.66,2.6,1.43,28441,5032,0,0,0
Groves,Example Trial,402,2.47,1.96,2.52,1.48,29595,5477,0,0,0
Groves,Example Trial,402,3.17,1.86,3.15,1.57,29017,7126,0,0,0
Groves,Example Trial,402,2.94,1.8,2.49,2.03,30947,5142,0,0,1
Groves,Example Trial,402,2.65,1.84,2.73,1.52,28812,5996,0,0,0
Groves,Example Trial,402,1.57,2.02,1.72,1.33,29432,3853,0,0,0
Groves,Example Trial,402,0.73,1.17,1.38,1.07,23666,1753,0,0,0
Groves,Example Trial,402,3.18,2.48,2.41,1.66,31199,6576,0,0,1
Groves,Example Trial,402,3.12,2.59,2.17,1.52,27380,6777,0,0,0
Groves,Example Trial,402,1.76,1.53,2.15,1.57,29343,3862,0,0,0
Groves,Example Trial,402,1.77,2.04,1.67,1.48,28486,4056,0,0,0
Groves,Example Trial,402,1,1.47,1.46,1.17,25110,2511,0,0,0
Groves,Example Trial,402,2.08,2.24,1.75,1.46,27515,4730,0,0,0
Groves,Example Trial,402,1.34,2.02,1.48,1.15,25657,3521,0,0,0
Groves,Example Trial,402,2.57,2.2,2.6,1.45,32272,6088,0,0,0
Groves,Example Trial,402,5.86,2.34,4.45,1.69,30030,11978,0,0,0
Groves,Example Trial,402,2.17,2.36,1.78,1.5,29037,4875,0,0,0
Groves,Example Trial,402,1.6,2.3,1.43,1.28,26312,3988,0,0,0
Groves,Example Trial,402,2.38,1.78,2.54,1.5,28494,5416,0,0,0
Groves,Example Trial,402,2.22,2.14,1.88,1.56,28271,4828,0,0,0
Groves,Example Trial,402,1.79,2.24,1.75,1.33,29126,4342,0,0,0
Groves,Example Trial,402,0.94,1.51,1.54,1.09,26964,2475,0,0,0
Groves,Example Trial,402,2.03,2.08,1.75,1.62,29048,4192,0,0,0
Groves,Example Trial,402,1.5,1.7,2.15,1.24,30214,3690,0,0,0
Groves,Example Trial,402,4.78,2.02,3.76,1.8,28601,9398,0,0,0
Groves,Example Trial,402,1.94,1.51,2.84,1.28,28294,5014,0,0,0
Groves,Example Trial,402,0.97,1.6,1.51,1.11,27647,2571,0,0,0
Groves,Example Trial,402,2.8,2.18,2.57,1.58,31614,6101,0,0,1
Groves,Example Trial,402,3.51,2.08,3.21,1.58,30055,7684,0,0,0
Groves,Example Trial,402,4.07,2.12,3.6,1.61,30190,8758,0,0,0
Groves,Example Trial,402,1.61,2.1,1.59,1.34,27790,3994,0,0,0
Groves,Example Trial,402,2.15,1.76,2.62,1.41,30240,5131,0,0,0
Groves,Example Trial,402,6.62,2.26,5.19,1.82,32246,13582,1,0,0
Groves,Example Trial,402,1.58,1.84,1.64,1.49,28457,3468,0,0,0
Groves,Example Trial,402,2.54,1.74,2.62,1.57,28178,5484,0,0,0
Groves,Example Trial,402,3.42,2.32,2.81,1.65,31452,6979,0,0,1
